time_s,stage,Ip_MA,I_CS1_MA,I_CS2_MA,I_CS3_MA,I_PF1_MA,I_PF2_MA,I_PF3_MA,I_PF4_MA,I_Div1_MA,I_Div2_MA,I_VS_bias_MA,B0_T,loop_voltage_V,flux_consumed_Wb,q95,pf_balance_residual,strike_point_residual
0.08,rampup,0.15,4.999636363636363,5.999515151515151,4.999636363636363,0.19102964155110783,0.2868677468147797,-0.3905587181419407,-0.5781290200545568,0.0,0.0,0.0,12.2,17.093413353569524,1.6,30.604964325197404,14.778850131513968,
0.1,rampup,0.1580818376457726,4.99955222899591,5.999402971994548,4.99955222899591,0.18256941930657541,0.274560003957346,-0.38129450191418823,-0.5569209149519763,0.0,0.0,0.0,12.2,19.92582844564986,1.9701924179921941,29.097887590647332,14.246752188621196,
0.12,rampup,0.18193786443148685,4.99944728376787,5.999263045023827,4.99944728376787,0.17458055424747707,0.2630100913711905,-0.3722144058128126,-0.5363596413508747,0.0,0.0,0.0,12.2,26.250071892064163,2.4319514213693343,25.430680841027918,13.738025031594335,
0.14,rampup,0.22098385112973765,4.999310689709348,5.9990809196124655,4.999310689709348,0.16702780110182153,0.2521575865692489,-0.36332374803809986,-0.5164287225892509,0.0,0.0,0.0,12.2,33.85131385744833,3.03296527886446,21.13820989091812,13.251331639028127,
0.16,rampup,0.27463556851311954,4.9991368888746255,5.998849185166169,4.9991368888746255,0.15987909460501984,0.24194768983096426,-0.3546263411053405,-0.49711139254260656,0.0,0.0,0.0,12.2,42.62105342033358,3.7976889516422787,17.23294365623177,12.78544950872871,
0.18,rampup,0.34230878735422743,4.998920839906651,5.998561119875537,4.998920839906651,0.15310523272443938,0.23233065611864423,-0.346124695952151,-0.47839072025689106,0.0,0.0,0.0,12.2,52.44049248827417,4.748304410728355,14.055716895679845,12.33925549921257,
0.2,rampup,0.4234192784256561,4.9986580605409765,5.99821074738797,4.9986580605409765,0.1466795929320645,0.2232612866320448,-0.3378202023781761,-0.460249717424753,0.0,0.0,0.0,12.2,63.18242840864259,5.904533619697524,11.589056025054182,11.911713126991572,
0.22,rampup,0.5173828125000002,4.9983446617451035,5.997792882326808,4.9983446617451035,0.1405778780230032,0.214698473667946,-0.32971328836371755,-0.44267143057581254,0.0,0.0,0.0,12.2,74.71304177525033,7.283488321536453,9.70222398903783,11.501861913898187,
0.24,rampup,0.6236151603498541,4.997977373960911,5.997303165281217,4.997977373960911,0.13477788834788165,0.2066047931209101,-0.32180356055417664,-0.4256390196733596,0.0,0.0,0.0,12.2,86.89358326952383,8.899554571984194,8.25793256231275,11.108808441315656,
0.26,rampup,0.7415320927478134,4.997553565899755,5.996738087866342,4.997553565899755,0.12925931765864934,0.1989461395607462,-0.31408992796380714,-0.40913582464843734,0.0,0.0,0.0,12.2,99.58196363907686,10.764310041070202,7.143736327497229,10.731718822318774,
0.28,rampup,0.8705493804664726,4.997071256321091,5.996095008428123,4.997071256321091,0.12400357006406464,0.19169139935882304,-0.30657071074217773,-0.39314542125553775,0.0,0.0,0.0,12.2,112.63425097331083,12.88647218719408,6.27500958687399,10.369812349284643,
0.3,rampup,1.0100827942784256,4.9965291192068015,5.995372158942404,4.9965291192068015,0.11899359585678623,0.18481215781585075,-0.2992437356574073,-0.3776516675003463,0.0,0.0,0.0,12.2,125.9060793140051,15.271875490067234,5.589988414385022,10.022356114355311,
0.32,rampup,1.1595481049562681,4.995926482725693,5.99456864363426,4.995926482725693,0.11421374421179954,0.17828243667394292,-0.29210641977945234,-0.3626387417676902,0.0,0.0,0.0,12.2,139.2539723738433,17.92347600694572,5.04393990432303,9.688660434032338,
0.34,rampup,1.318361083272595,4.995263322366286,5.993684429821718,4.995263322366286,0.1096496309687607,0.1720784587808955,-0.2851558436925755,-0.3480911736658937,0.0,0.0,0.0,12.2,152.53658576501698,20.841381588334325,4.604364175209281,9.368074937903362,
0.36,rampup,1.4859374999999997,4.9945402486015915,5.992720331468792,4.9945402486015915,0.10528801990132226,0.16617843701933416,-0.2783888154269694,-0.33399386850117546,0.0,0.0,0.0,12.2,165.6158707002169,24.022906152986657,4.247450472303053,9.059985205722706,
0.38,rampup,1.6616931259110783,4.993758489437153,5.991677985916207,4.993758489437153,0.10111671604692973,0.16056238492185781,-0.27180192617387916,-0.3203321262017552,0.0,0.0,0.0,12.2,178.35816165299207,27.46264647651875,3.9555642948847662,8.763809857405834,
0.4,rampup,1.8450437317784256,4.992919868183437,5.990559824244585,4.992919868183437,0.09712446982301894,0.15521194666927257,-0.2653915987352021,-0.3070916554253038,0.0,0.0,0.0,12.2,190.63518998230305,31.152579992871704,3.7154901996609064,8.478998017498473,
0.42,rampup,2.035405088374635,4.992026776785613,5.989369035714153,4.992026776785613,0.09330089079185186,0.1501102444158124,-0.2591541295563015,-0.2942585835047232,0.0,0.0,0.0,12.2,202.32502506011713,35.082182143295896,3.517204555944735,8.205027089832164,
0.44,rampup,2.2321929664723035,4.991082145037731,5.988109526716976,4.991082145037731,0.08963637005807701,0.14524174110588606,-0.25308572509864685,-0.2818194628154693,0.0,0.0,0.0,12.2,213.31294400814846,39.23856183397856,3.353013985017019,7.941400789806477,
0.46,rampup,2.434823136844023,4.990089406004163,5.9867858746722185,4.990089406004163,0.08612201039198071,0.1405921171440727,-0.2471825332259693,-0.2697612740822925,0.0,0.0,0.0,12.2,223.49223076188383,43.606613581678886,3.2169453717559833,7.687647391418466,
0.48,rampup,2.6427113702623903,4.989052457968696,5.985403277291597,4.989052457968696,0.08274956326865628,0.13614815945623537,-0.24144067020307441,-0.25807142708393527,0.0,0.0,0.0,12.2,232.76490484340317,48.16918493773175,3.104309590734798,7.443318154117655,
0.5,rampup,2.8552734374999997,4.987975623230548,5.983967497640732,4.987975623230548,0.0795113721001713,0.13189766163692473,-0.23585624383951995,-0.2467377591606038,0.0,0.0,0.0,12.2,241.04237994167175,52.9072577855825,3.0113860628451854,7.207985901080591,
0.52,rampup,3.0719251093294466,4.986863604066659,5.982484805422215,4.986863604066659,0.07640032101534362,0.12782933401866095,-0.230425373250363,-0.23574853188052916,0.0,0.0,0.0,12.2,248.24605216919878,57.80014210669121,2.935192131607396,6.981243725814282,
0.54,rampup,3.2920821565233234,4.985721436180629,5.980961914907508,4.985721436180629,0.07340978861092723,0.12393272262398485,-0.22514420565245552,-0.22509242617828246,0.0,0.0,0.0,12.2,254.3078176841262,62.825680805224465,2.8733125834305375,6.762703808317872,
0.56,rampup,3.515160349854228,4.984554439960365,5.979405919947155,4.984554439960365,0.07053360615973872,0.1201981360729512,-0.22000893056674628,-0.21475853623834637,0.0,0.0,0.0,12.2,259.17051923226654,67.96046417438839,2.8237722620434647,6.55199632553154,
0.58,rampup,3.740575460094752,4.983368169868771,5.977824226491697,4.983368169868771,0.06776601981631468,0.11661657961842503,-0.21501579175417893,-0.20473636236241682,0.0,0.0,0.0,12.2,262.78832106881487,73.18005257739918,2.784939885763563,6.348768443627447,
