time_s,stage,Ip_MA,I_CS1_MA,I_CS2_MA,I_CS3_MA,I_PF1_MA,I_PF2_MA,I_PF3_MA,I_PF4_MA,I_Div1_MA,I_Div2_MA,I_VS_bias_MA,B0_T,note
0.0,breakdown,0.0,5.0,6.0,5.0,0.2,0.3,-0.4,-0.6,0.0,0.0,0.0,12.2,breakdown_start
0.01,breakdown,0.0064453125,4.9896875,5.98625,4.9896875,0.195703125,0.29355468749999997,-0.4150390625,-0.6171875,0.0,0.0,0.0,12.2,breakdown_swing
0.02,breakdown,0.0234375,4.9625,5.95,4.9625,0.184375,0.2765625,-0.4546875,-0.6625,0.0,0.0,0.0,12.2,breakdown_swing
0.03,breakdown,0.0474609375,4.9240625,5.89875,4.9240625,0.168359375,0.25253906249999997,-0.5107421875,-0.7265625,0.0,0.0,0.0,12.2,breakdown_swing
0.04,breakdown,0.075,4.88,5.84,4.88,0.15000000000000002,0.22499999999999998,-0.575,-0.8,0.0,0.0,0.0,12.2,breakdown_swing
0.05,breakdown,0.1025390625,4.8359375,5.78125,4.8359375,0.131640625,0.1974609375,-0.6392578125,-0.8734375,0.0,0.0,0.0,12.2,breakdown_swing
0.06,breakdown,0.1265625,4.797499999999999,5.7299999999999995,4.797499999999999,0.115625,0.1734375,-0.6953125,-0.9375,0.0,0.0,0.0,12.2,breakdown_swing
0.07,breakdown,0.1435546875,4.7703125,5.69375,4.7703125,0.104296875,0.1564453125,-0.7349609375,-0.9828125000000001,0.0,0.0,0.0,12.2,breakdown_swing
0.08,breakdown,0.15,4.76,5.68,4.76,0.1,0.15,-0.75,-1.0,0.0,0.0,0.0,12.2,breakdown_end
